D,N,P,T,Unnamed: 0,eps,gamma,gen,gensd,lingen,lingensd,quadgen,quadgensd,solver,train,trainsd,zeta
30.0,10000.0,36.0,50.0,1.0,0.0,1.0,0.5038889,0.08089202,,,,,auto,0.0,0.0,1e-08
30.0,10000.0,58.0,50.0,4.0,0.0,1.0,0.5006897,0.06413793,,,,,auto,0.0,0.0,1e-08
30.0,10000.0,92.0,50.0,7.0,0.0,1.0,0.4945652,0.05551997,,,,,auto,0.0,0.0,1e-08
30.0,10000.0,146.0,50.0,10.0,0.0,1.0,0.5046575,0.04196434,,,,,auto,0.0,0.0,1e-08
30.0,10000.0,232.0,50.0,13.0,0.0,1.0,0.50232756,0.032223508,,,,,auto,0.0,0.0,1e-08
30.0,10000.0,316.0,50.0,15.0,0.0,1.0,0.49335444,0.029430376,,,,,auto,0.0,0.0,1e-08
30.0,10000.0,429.0,50.0,17.0,0.0,1.0,0.49678323,0.027086372,,,,,auto,0.0,0.0,1e-08
30.0,10000.0,584.0,50.0,19.0,0.0,1.0,0.49,0.021175794,,,,,auto,0.0,0.0,1e-08
30.0,10000.0,794.0,50.0,21.0,0.0,1.0,0.4865743,0.015436533,,,,,auto,0.0,0.0,1e-08
30.0,10000.0,1079.0,50.0,23.0,0.0,1.0,0.47364223,0.016104095,,,,,auto,0.0,0.0,1e-08
30.0,10000.0,1467.0,50.0,25.0,0.0,1.0,0.4591002,0.0140093,,,,,auto,0.0,0.0,1e-08
30.0,10000.0,1995.0,50.0,27.0,0.0,1.0,0.43698242,0.011834793,,,,,auto,0.0,0.0,1e-08
30.0,10000.0,2712.0,50.0,29.0,0.0,1.0,0.4176475000000001,0.011406773,,,,,auto,0.0,0.0,1e-08
30.0,10000.0,3162.0,10.0,0.0,0.0,1.0,0.40521818,0.0076204417,,,,,auto,0.0,0.0,1e-08
30.0,10000.0,3686.0,10.0,1.0,0.0,1.0,0.3992675,0.0071119596,,,,,auto,0.0,0.0,1e-08
30.0,10000.0,4298.0,10.0,2.0,0.0,1.0,0.39785942,0.006053798399999999,,,,,auto,0.0,0.0,1e-08
30.0,10000.0,5011.0,10.0,3.0,0.0,1.0,0.38295752,0.0075796414,,,,,auto,0.0,0.0,1e-08
30.0,10000.0,5843.0,10.0,4.0,0.0,1.0,0.38345027,0.005045292,,,,,auto,0.0,0.0,1e-08
30.0,10000.0,6812.0,10.0,5.0,0.0,1.0,0.38994423,0.005629171600000001,,,,,auto,0.0,0.0,1e-08
30.0,10000.0,7943.0,10.0,6.0,0.0,1.0,0.40531284,0.006738772,,,,,auto,0.0,0.0,1e-08
30.0,10000.0,9261.0,10.0,7.0,0.0,1.0,0.43408918,0.0054920080000000005,,,,,auto,0.0,0.0,1e-08
30.0,10000.0,10797.0,10.0,8.0,0.0,1.0,0.43199039,0.0044270763,,,,,auto,3.7047328e-05,6.143604999999999e-05,1e-08
30.0,10000.0,12589.0,10.0,9.0,0.0,1.0,0.3837954,0.0035552909000000008,,,,,auto,0.0039002306,0.000796288,1e-08
30.0,10000.0,14677.0,10.0,10.0,0.0,1.0,0.3508074,0.0026522873,,,,,auto,0.017183349,0.0011115633,1e-08
30.0,10000.0,17113.0,10.0,11.0,0.0,1.0,0.3252907,0.0034807979,,,,,auto,0.03254251,0.0014839415,1e-08
30.0,10000.0,19952.0,10.0,12.0,0.0,1.0,0.30542302,0.003951932,,,,,auto,0.05017041,0.001747898,1e-08
30.0,10000.0,23263.0,10.0,13.0,0.0,1.0,0.2880239,0.0022648794,,,,,auto,0.06680567,0.0011777796,1e-08
30.0,10000.0,27122.0,10.0,14.0,0.0,1.0,0.27322468,0.005299969,,,,,auto,0.081288256,0.002100778,1e-08
