gen,gensd,train,trainsd,m1,m1sd,m2,m2sd,N,D,P,eps,gamma,T,zeta,solver,lingen,lingensd,quadgen,quadgensd
0.40903223,0.09772436,0.0,0.0,0.65093946,0.27664423,0.043142654,0.02337421,10000,30,31,0.0,0.70710677,50,1e-08,auto,0.46064514,0.0993297,0.4251612,0.08254284
0.40944442,0.07694194,0.0,0.0,0.6370607,0.22362772,0.060521282,0.024657479,10000,30,36,0.0,0.70710677,50,1e-08,auto,0.44222219999999995,0.08367338,0.42222217,0.09262962
0.38619050000000005,0.09013595,0.0,0.0,0.7254808,0.27334505,0.076382525,0.037884388,10000,30,42,0.0,0.70710677,50,1e-08,auto,0.41380954,0.0875323,0.41000010000000003,0.06722386
0.3632,0.06685626,0.0,0.0,0.7368802,0.22823785,0.12725578,0.04635402,10000,30,50,0.0,0.70710677,50,1e-08,auto,0.3768,0.07001257,0.41599998,0.061708987
0.35413787,0.065898165,0.0,0.0,0.7786628999999999,0.20546329,0.15712911,0.04962955,10000,30,58,0.0,0.70710677,50,1e-08,auto,0.35620690000000005,0.06260402,0.40620690000000004,0.06443387
0.33647059999999995,0.073508225,0.0,0.0,0.7521553000000001,0.18527423,0.22553784,0.061526954,10000,30,68,0.0,0.70710677,50,1e-08,auto,0.3552941,0.07592338,0.40205884,0.071659155
0.32177216,0.052135304,0.0,0.0,0.74578476,0.20461924,0.28867242,0.07417564,10000,30,79,0.0,0.70710677,50,1e-08,auto,0.3387342,0.05647102,0.39670885,0.062095553
0.31717393,0.06509735400000001,0.0,0.0,0.7770026999999999,0.22129996,0.3544005,0.08484206,10000,30,92,0.0,0.70710677,50,1e-08,auto,0.32347825,0.06410500400000001,0.39021736,0.04920204
0.30654204,0.054366503,0.0,0.0,0.775835,0.17881875,0.4423294,0.095713116,10000,30,107,0.0,0.70710677,50,1e-08,auto,0.3233645,0.056043605999999996,0.37271026,0.03588785
0.29872,0.047587834,0.0,0.0,0.857605,0.23351770000000002,0.5008358,0.11526928,10000,30,125,0.0,0.70710677,50,1e-08,auto,0.3032,0.057605557,0.36448002,0.04382248
0.2846575,0.04244719,0.0,0.0,0.81202924,0.16337548,0.643397,0.11648532,10000,30,146,0.0,0.70710677,50,1e-08,auto,0.29547942,0.04351359,0.36260274,0.034666196
0.285614,0.039113324,0.0,0.0,0.77270615,0.14812323,0.80109864,0.09693286,10000,30,171,0.0,0.70710677,50,1e-08,auto,0.2922807,0.039045587,0.36011693,0.036409605
0.27738693,0.041095572999999996,0.0,0.0,0.7943635,0.22575018,0.9693712999999999,0.17191735,10000,30,199,0.0,0.70710677,50,1e-08,auto,0.29025128,0.044974845,0.34532670000000004,0.03514773
0.27422413,0.031212255,0.0,0.0,0.8044003000000001,0.171153,1.0839341,0.17525534,10000,30,232,0.0,0.70710677,50,1e-08,auto,0.28267244,0.038341142,0.34103447,0.029255017999999997
0.26619926,0.03205035,0.0,0.0,0.7905416999999999,0.16317587,1.2433097,0.1874792,10000,30,271,0.0,0.70710677,50,1e-08,auto,0.27357936,0.037493464,0.33808118,0.03292944
0.2607595,0.030766267000000003,0.0,0.0,0.779725,0.14096236,1.4903438999999998,0.16976593,10000,30,316,0.0,0.70710677,50,1e-08,auto,0.28037974,0.032832183,0.33367088,0.03191129
0.25750002,0.023655731,0.0,0.0,0.78062993,0.18528594,1.7261707,0.24808381,10000,30,368,0.0,0.70710677,50,1e-08,auto,0.26516303,0.032051817,0.3458152,0.03162376
0.25407925,0.020486316,0.0,0.0,0.8207774,0.14213568,1.9327536,0.19445594,10000,30,429,0.0,0.70710677,50,1e-08,auto,0.26223773,0.024683322999999997,0.39300698,0.033517838
0.24427146,0.021251215,0.0,0.0,0.79485124,0.15021662,2.1886375,0.24098518,10000,30,501,0.0,0.70710677,50,1e-08,auto,0.2599601,0.03394519,0.38938126,0.027969304
0.24291095,0.020021832,0.0,0.0,0.81477267,0.16146270000000001,2.2779243,0.29325688,10000,30,584,0.0,0.70710677,50,1e-08,auto,0.2578767,0.03037538,0.3205137,0.02427087
0.23336273,0.017613413,0.0,0.0,0.8068241,0.14413442,2.4793098,0.22393751,10000,30,681,0.0,0.70710677,50,1e-08,auto,0.25033772,0.02811608,0.2721586,0.022409992000000004
0.21702771,0.018868906,0.0,0.0,0.78886443,0.16098304,2.626189,0.28230307,10000,30,794,0.0,0.70710677,50,1e-08,auto,0.25564232,0.023948677,0.23216625,0.018761279
0.212743,0.014078693,0.0,0.0,0.8253356,0.17274113,2.6694787,0.28855002,10000,30,926,0.0,0.70710677,50,1e-08,auto,0.24781860000000003,0.026158212,0.21203022,0.015686072
0.20079704,0.013133691999999999,0.0,0.0,0.79426223,0.15492938,2.8614314,0.28114524,10000,30,1079,0.0,0.70710677,50,1e-08,auto,0.25093606,0.026285767999999998,0.18392956,0.0142100025
0.19022259,0.013182373,0.0,0.0,0.82418275,0.15211537,2.8692113999999997,0.24868944,10000,30,1258,0.0,0.70710677,50,1e-08,auto,0.24468999,0.023667412000000002,0.16454689,0.012274644
0.18800274,0.009538416,0.0,0.0,0.8132687,0.16313462,2.9003674999999998,0.297708,10000,30,1467,0.0,0.70710677,50,1e-08,auto,0.24864349,0.02626609,0.15385142,0.011003531499999998
0.18593806,0.011253128999999999,0.0,0.0,0.8290195,0.14947928,2.9018836,0.2689026,10000,30,1711,0.0,0.70710677,50,1e-08,auto,0.24361193,0.020820228,0.13768557,0.008912168
0.18258648,0.010548637,0.0,0.0,0.8176690999999999,0.14177616,2.9689672000000003,0.26787317,10000,30,1995,0.0,0.70710677,50,1e-08,auto,0.24522305,0.022673111,0.1254837,0.010777576
0.18759243,0.009122716,0.0,0.0,0.8447415999999999,0.16911323,2.943125,0.27267078,10000,30,2326,0.0,0.70710677,50,1e-08,auto,0.24489252,0.02641599,0.116242476,0.0075318175
0.1918879,0.008963137,0.0,0.0,0.827785,0.16315386,3.0018516,0.29144013,10000,30,2712,0.0,0.70710677,50,1e-08,auto,0.24589233,0.025083616,0.106187314,0.006776435999999999
0.20351043,0.012381108,0.0,0.0,0.7927651,0.13703297,3.1190982000000003,0.21636538,10000,30,3162,0.0,0.70710677,10,1e-08,auto,0.25294120000000003,0.020115843,0.100474395,0.004960374
0.20963104,0.009444909,0.0,0.0,0.90230274,0.14635105,2.994144,0.25097898,10000,30,3686,0.0,0.70710677,10,1e-08,auto,0.23944655,0.01893574,0.092756376,0.0050104777
0.22382505,0.0059782130000000005,0.0,0.0,0.8653761999999999,0.10960727,2.8512459,0.19462906,10000,30,4298,0.0,0.70710677,10,1e-08,auto,0.23864587,0.015089645,0.08071196,0.0040170504
0.23167033,0.009477127,0.0,0.0,0.89239246,0.12937935,3.0156534,0.19440952,10000,30,5011,0.0,0.70710677,10,1e-08,auto,0.23845538,0.01809468,0.07699063,0.0044781746999999995
0.25413314,0.0065199053,0.0,0.0,0.8748325000000001,0.16434161,3.0322622999999997,0.31119037,10000,30,5843,0.0,0.70710677,10,1e-08,auto,0.24790344,0.02032641,0.06969023,0.00434034
0.27381092,0.0032073595,0.0,0.0,1.030807,0.16623856,2.9793804,0.29634205,10000,30,6812,0.0,0.70710677,10,1e-08,auto,0.23487964,0.019546205,0.06673517,0.002453093
0.31090266,0.007100021999999999,0.0,0.0,1.0369666,0.25739866,3.110386,0.310848,10000,30,7943,0.0,0.70710677,10,1e-08,auto,0.23933022,0.028686957000000003,0.06171472,0.0030975777
0.38733402,0.0074980925,0.0,0.0,1.0748431999999999,0.24075198,2.899507,0.28657517,10000,30,9261,0.0,0.70710677,10,1e-08,auto,0.23840837,0.022254843,0.058643777,0.00094930024
0.3823377,0.0040889615,1.8523664000000002e-05,3.7047328000000003e-05,1.0445735,0.21794702,3.0002694,0.3473436,10000,30,10797,0.0,0.70710677,10,1e-08,auto,0.24541076,0.020625044,0.05505233,0.0029373888000000003
0.29986495,0.0064008604000000005,0.00050838036,0.00019842715,1.1760784,0.1469201,2.9309235,0.28887070000000004,10000,30,12589,0.0,0.70710677,10,1e-08,auto,0.23253635,0.019611206000000003,0.05113194,0.0027402106
0.25892213,0.006831603,0.0027866727000000003,0.00043780945,0.9554411,0.21404245,3.122892,0.40013623,10000,30,14677,0.0,0.70710677,10,1e-08,auto,0.24991484,0.025934756,0.048688423,0.002880087
0.21955824,0.005119133,0.0067375675,0.00056718197,1.0162014000000001,0.2193659,2.959884,0.24981663,10000,30,17113,0.0,0.70710677,10,1e-08,auto,0.23795362,0.02079522,0.04445743,0.0021411185
0.19171008,0.0043059136,0.012119085,0.0005448148000000001,0.94202244,0.119516805,3.0396278,0.13978238,10000,30,19952,0.0,0.70710677,10,1e-08,auto,0.24515836,0.011611177,0.042587213,0.0021261938
0.17286249,0.0048072166,0.016825002,0.0008582717,1.0253755999999998,0.17433137,2.8876560000000002,0.2886566,10000,30,23263,0.0,0.70710677,10,1e-08,auto,0.23813781,0.021931471,0.038993247,0.0027827024
0.15377924,0.0045447890000000005,0.020957157,0.0009401888000000001,1.0821047,0.19787781,2.8515782000000005,0.33648244,10000,30,27122,0.0,0.70710677,10,1e-08,auto,0.23051398,0.026799873999999998,0.037375562,0.0013961245
