gen,gensd,train,trainsd,N,D,P,eps,gamma,T,zeta,solver,lingen,lingensd,quadgen,quadgensd,time
0.22940832,0.03578256,0.0,0.0,400,10,200,0.0,1.0,3000,1e-08,auto,,,,,0.01292918126595517
0.22120774,0.02759684,0.0,0.0,691,12,345,0.0,1.0,3000,1e-08,auto,,,,,0.02175352705270052
0.21561372,0.021224484,0.0,0.0,1097,14,548,0.0,1.0,3000,1e-08,auto,,,,,0.04210451871901751
0.21041395,0.016994717,0.0,0.0,1638,16,819,0.0,1.0,3000,1e-08,auto,,,,,0.10583246611369153
0.20753689,0.014324521000000002,0.0,0.0,2332,18,1166,0.0,1.0,3000,1e-08,auto,,,,,0.23563472352425255
0.20582916,0.011091945,0.0,0.0,3200,20,1600,0.0,1.0,300,1e-08,auto,,,,,0.3846709063400825
0.203504,0.011453903,0.0,0.0,4259,22,2129,0.0,1.0,300,1e-08,auto,,,,,0.6657335325827202
0.20106004,0.008473902,0.0,0.0,5529,24,2764,0.0,1.0,300,1e-08,auto,,,,,1.0901785374991595
0.19945759,0.0077077216,0.0,0.0,7030,26,3515,0.0,1.0,300,1e-08,auto,,,,,1.9292252440502249
0.19808426,0.007291886500000001,0.0,0.0,8780,28,4390,0.0,1.0,300,1e-08,auto,,,,,3.2538768184868
0.19716664,0.007075358,0.0,0.0,10800,30,5400,0.0,1.0,50,1e-08,auto,,,,,5.797697014287113
0.19593166,0.0052846465,0.0,0.0,13107,32,6553,0.0,1.0,50,1e-08,auto,,,,,9.658646996580064
0.19590839999999998,0.004824374,0.0,0.0,15721,34,7860,0.0,1.0,50,1e-08,auto,,,,,15.817756380662322
0.19510233,0.004644948,0.0,0.0,18662,36,9331,0.0,1.0,50,1e-08,auto,,,,,25.417825134061278
0.19415161,0.0053137653,0.0,0.0,21948,38,10974,0.0,1.0,50,1e-08,auto,,,,,40.33455170977861
0.19265625,0.0028455092,0.0,0.0,25600,40,12800,0.0,1.0,10,1e-08,auto,,,,,46.825924770906575
0.19618006,0.0025007379999999997,0.0,0.0,29635,42,14817,0.0,1.0,10,1e-08,auto,,,,,64.66410443894566
0.19287392,0.004443635,0.0,0.0,34073,44,17036,0.0,1.0,10,1e-08,auto,,,,,94.22285284735264
0.19317820000000002,0.00307324,0.0,0.0,38934,46,19467,0.0,1.0,10,1e-08,auto,,,,,137.09769000075758
0.19376525,0.0032736156,0.0,0.0,44236,48,22118,0.0,1.0,10,1e-08,auto,,,,,191.45964340288188
0.18954799,0.001903851,0.0,0.0,50000,50,25000,0.0,1.0,10,1e-08,auto,,,,,265.00100167654455
